2024-12-11T13:47:04.080+03:00 DEBUG 3080 --- [background-preinit] org.jboss.logging                        : Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2024-12-11T13:47:04.088+03:00 DEBUG 3080 --- [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : Trying to load META-INF/validation.xml for XML based Validator configuration.
2024-12-11T13:47:04.089+03:00 DEBUG 3080 --- [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via TCCL
2024-12-11T13:47:04.089+03:00 DEBUG 3080 --- [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2024-12-11T13:47:04.090+03:00 DEBUG 3080 --- [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : No META-INF/validation.xml found. Using annotation based configuration only.
2024-12-11T13:47:04.095+03:00 DEBUG 3080 --- [background-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Found jakarta.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
2024-12-11T13:47:04.096+03:00 DEBUG 3080 --- [background-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
2024-12-11T13:47:04.117+03:00  INFO 3080 --- [main] g.c.s.a.aymoose.core.AymooseApplication  : Starting AymooseApplication using Java 21.0.3 with PID 3080 (C:\Users\hayru\Desktop\Codes\wO\kouD\FalconStack\aymoose-server\core\build\libs\core-plain.jar started by hayru in C:\Users\hayru\Desktop\Codes\wO\kouD\FalconStack\aymoose-server)
2024-12-11T13:47:04.117+03:00 DEBUG 3080 --- [main] g.c.s.a.aymoose.core.AymooseApplication  : Running with Spring Boot v3.3.2, Spring v6.1.11
2024-12-11T13:47:04.118+03:00  INFO 3080 --- [main] g.c.s.a.aymoose.core.AymooseApplication  : No active profile set, falling back to 1 default profile: "default"
2024-12-11T13:47:04.118+03:00 DEBUG 3080 --- [main] o.s.boot.SpringApplication               : Loading source class gtu.cse.se.altefdirt.aymoose.core.AymooseApplication
2024-12-11T13:47:04.120+03:00 DEBUG 3080 --- [background-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2024-12-11T13:47:04.165+03:00 DEBUG 3080 --- [main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7b8b43c7
2024-12-11T13:47:04.183+03:00 DEBUG 3080 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2024-12-11T13:47:04.195+03:00 DEBUG 3080 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2024-12-11T13:47:04.206+03:00 DEBUG 3080 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2024-12-11T13:47:04.211+03:00 DEBUG 3080 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2024-12-11T13:47:04.212+03:00 DEBUG 3080 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
